datetime,Open,High,Low,Close,Volume
2024-08-01 00:00:00,63993.0,64091.0,63858.43,64000.0,124.10005734
2024-08-01 00:15:00,64037.3,64091.0,63793.0,63810.13,88.54519001
2024-08-01 00:30:00,63810.13,63972.0,63687.76,63773.0,103.7814542
2024-08-01 00:45:00,63771.58,63888.0,63408.0,63699.5,358.30991052
2024-08-01 01:00:00,63692.07,64016.0,63532.64,63907.09,343.45668357
2024-08-01 01:15:00,63907.1,64229.0,63860.3,64161.02,387.49510559
2024-08-01 01:30:00,64150.0,64373.0,64080.04,64280.85,98.06313934
2024-08-01 01:45:00,64277.08,64389.0,64182.4,64266.32,71.36520073
2024-08-01 02:00:00,64266.32,64361.0,64142.3,64215.21,75.17396635
2024-08-01 02:15:00,64215.21,64320.0,64078.0,64218.9,89.91146031
2024-08-01 02:30:00,64218.9,64507.0,64157.98,64382.61,91.12726177
2024-08-01 02:45:00,64382.61,64496.0,64182.81,64199.13,47.1090242
2024-08-01 03:00:00,64235.8,64496.0,64182.46,64410.02,68.45627132
2024-08-01 03:15:00,64407.5,64535.0,64320.0,64360.1,51.65528434
2024-08-01 03:30:00,64351.16,64455.0,64263.19,64342.4,57.95488704
2024-08-01 03:45:00,64339.63,64469.0,64230.75,64281.85,51.22083813
2024-08-01 04:00:00,64289.7,64562.0,64269.26,64348.21,80.23090106
2024-08-01 04:15:00,64347.86,64550.0,64327.71,64415.25,59.1871775
2024-08-01 04:30:00,64410.33,64617.0,64388.18,64481.51,79.58728607
2024-08-01 04:45:00,64481.51,64600.0,64376.83,64465.12,63.59358504
2024-08-01 05:00:00,64469.0,64766.0,64433.53,64744.0,67.38962503
2024-08-01 05:15:00,64601.45,64744.0,64537.77,64577.6,65.76337894
2024-08-01 05:30:00,64563.64,64699.0,64479.26,64650.0,51.24944289
2024-08-01 05:45:00,64482.78,64651.0,64422.09,64429.46,250.86505841
2024-08-01 06:00:00,64429.46,64630.0,64306.29,64356.59,66.12832584
2024-08-01 06:15:00,64361.23,64580.0,64271.45,64434.6,71.75160042
2024-08-01 06:30:00,64449.62,64627.0,64402.87,64423.56,33.66274036
2024-08-01 06:45:00,64423.55,64714.0,64409.21,64544.7,57.54464442
2024-08-01 07:00:00,64544.69,64740.0,64450.83,64452.55,62.68913841
2024-08-01 07:15:00,64455.75,64714.0,64423.0,64551.0,69.61478810999999
2024-08-01 07:30:00,64540.78,64757.0,64450.0,64603.3,61.93529364
2024-08-01 07:45:00,64603.3,64809.0,64500.0,64640.62,86.77320897999999
2024-08-01 08:00:00,64640.62,64929.0,64598.83,64765.47,110.06196163
2024-08-01 08:15:00,64765.47,65029.0,64682.8,64714.07,120.3474103
2024-08-01 08:30:00,64712.5,65029.0,64683.34,64760.88,119.28923037
2024-08-01 08:45:00,64760.7,65021.0,64725.4,64856.33,77.13478499
2024-08-01 09:00:00,65020.0,65080.0,64655.41,64709.96,140.59614352
2024-08-01 09:15:00,64707.49,64892.0,64545.14,64569.0,121.68606369
2024-08-01 09:30:00,64600.1,64876.0,64429.71,64688.91,242.1578653
2024-08-01 09:45:00,64688.91,65005.0,64618.11,64729.13,187.26982632
2024-08-01 10:00:00,64727.4,64908.0,64437.02,64607.35,135.56777695
2024-08-01 10:15:00,64607.63,64777.0,64120.0,64169.06,255.83414309
2024-08-01 10:30:00,64169.06,64560.0,64029.21,64249.28,418.69049112
2024-08-01 10:45:00,64241.98,64419.0,63898.82,63908.89,396.31080644
2024-08-01 11:00:00,63936.8,64082.0,63600.72,63632.51,658.33277278
2024-08-01 11:15:00,63632.51,63868.0,62810.24,62939.4,1835.54055325
